"team","score","var"
"frc1",0.145833333333333,0.0211377473407203
"frc100",0.0972222222222222,0.00936436964131621
"frc1001",0.125,0.0625
"frc1002",0.0833333333333333,0.0416666666666667
"frc1008",0.25,0.125
"frc101",0.0416666666666667,0.0208333333333333
"frc1011",0.0694444444444444,0.0347222222222222
"frc1013",0,0
"frc1014",0.104166666666667,0.0510310363079829
"frc1018",0.131944444444444,0.0470529977608068
"frc102",0.0798611111111111,0.0391749680080252
"frc1023",0.483730158730159,0.2035935330319
"frc1024",0.319444444444444,0.12529007351856
"frc1025",0.241319444444444,0.120659722222222
"frc1027",0.0416666666666667,0.0208333333333333
"frc103",0.1875,0.045885153694376
"frc1033",0.0208333333333333,0.0104166666666667
"frc1038",0.0833333333333333,0.0416666666666667
"frc1051",0,0
"frc1058",0.09375,0.046875
"frc1065",0.166666666666667,0.0510310363079829
"frc107",0.361111111111111,0.130679834764739
"frc1071",0.152777777777778,0.0763888888888889
"frc1072",0.0208333333333333,0.0104166666666667
"frc1073",0.118055555555556,0.0270635818195336
"frc1075",0.166666666666667,0.0833333333333333
"frc1076",0.0625,0.03125
"frc108",0.340277777777778,0.170138888888889
"frc1086",0.111111111111111,0.0555555555555556
"frc1089",0.251388888888889,0.068271463019583
"frc1091",0.0208333333333333,0.0104166666666667
"frc1094",0.104166666666667,0.0510310363079829
"frc1095",0,0
"frc1099",0.125,0.0625
"frc11",0.398611111111111,0.103876759016109
"frc1100",0.263888888888889,0.131944444444444
"frc1102",0.166666666666667,0.0833333333333333
"frc1108",0.25,0.125
"frc111",0.21875,0.109375
"frc1111",0.145833333333333,0.0729166666666667
"frc1114",0.683333333333333,0.0270716024569938
"frc1123",0,0
"frc1124",0.158333333333333,0.0791666666666667
"frc1126",0.3125,0.15625
"frc1127",0,0
"frc1137",0.0416666666666667,0.0208333333333333
"frc1138",0.326388888888889,0.163194444444444
"frc114",0.125,0.0510310363079829
"frc1143",0.229166666666667,0.114583333333333
"frc1148",0,0
"frc115",0.0555555555555556,0.00936436964131621
